index,Laptop Brand, Processor Brand ,Clock Speed,Cache,Number of Cores,SSD Capacity,HDD Capacity,RAM,Graphic Processor,Dedicated Graphic Memory Capacity,Screen Size,Screen Resolution,Battery Cell,Weight,Cost,Link
22,HP,AMD,Max Turbo Boost at 4.0 GHz,8,,512 GB,,16 GB,AMD Radeon AMD,,35.56 cm (14 inch),1920 x 1080 Pixels,3 Cell,1.46 Kg kg,"₹50,999",https://www.flipkart.com/hp-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-14s-fy1003au-thin-light-laptop/p/itm0da2f0fc45d99?pid=COMGG3S9HWSFYNHW&lid=LSTCOMGG3S9HWSFYNHWUE3QX5&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_23&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=3e9ee6a3-c0b3-4714-b759-c7d8a23872cf.COMGG3S9HWSFYNHW.SEARCH&ppt=None&ppn=None&ssid=y08taens1s0000001663391040861&qH=c06ea84a1e3dc3c6
23,HP,Intel,3.7,,,512 GB,,8 GB,Intel Integrated UHD Graphics,,35.56 cm (14 Inch),1920 x 1080 Pixels,3,1.46 Kg,"₹45,980",https://www.flipkart.com/hp-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-14s-dq2606tu-thin-light-laptop/p/itm0b19e546c47d9?pid=COMGCGSTN9R4WPQV&lid=LSTCOMGCGSTN9R4WPQV76TNJK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_24&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=3e9ee6a3-c0b3-4714-b759-c7d8a23872cf.COMGCGSTN9R4WPQV.SEARCH&ppt=None&ppn=None&ssid=y08taens1s0000001663391040861&qH=c06ea84a1e3dc3c6
24,ASUS,Intel,1.2 GHz upto max turbo frequency at 3.4 Ghz,6,2,256 GB,1 TB,8 GB,Intel Integrated UHD,4 GB,39.62 cm (15.6 Inch),1920 x 1080 Pixel,2 Cell,1.80 kg,"₹27,990",https://www.flipkart.com/asus-vivobook-15-core-i3-10th-gen-8-gb-256-gb-ssd-windows-11-home-x515ja-ej312ws-thin-light-laptop/p/itm28e74f58362d8?pid=COMGFW4JEUBRKZGQ&lid=LSTCOMGFW4JEUBRKZGQAISZQX&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=730c83bd-ec65-494c-88c1-7bc7fbfc7561.COMGFW4JEUBRKZGQ.SEARCH&ppt=None&ppn=None&ssid=yw3q8glvi80000001663391164155&qH=c06ea84a1e3dc3c6
25,ASUS,AMD,"Base Frequency 2.10 GHz, Max Turbo Boost Frequency Up to 3.7 GHz",12 MB,8,512 GB,1 TB,8 GB,AMD Radeon Vega 8,4 GB,35.56 cm (14 inch),1920 x 1080 Pixel,4 Cell,1.60 kg,"₹35,990",https://www.flipkart.com/asus-vivobook-14-2022-ryzen-5-quad-core-3500u-8-gb-512-gb-ssd-windows-11-home-m415da-eb712ws-thin-light-laptop/p/itm291ea229a80a6?pid=COMGCG2GZKRCJUBZ&lid=LSTCOMGCG2GZKRCJUBZ1XPKVP&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=730c83bd-ec65-494c-88c1-7bc7fbfc7561.COMGCG2GZKRCJUBZ.SEARCH&ppt=None&ppn=None&ssid=yw3q8glvi80000001663391164155&qH=c06ea84a1e3dc3c6
26,ASUS,AMD,Max Turbo Frequency at 4.2 GHz,4 MB,2,1 TB,,16 GB,NVIDIA GeForce RTX 3050 Ti,4 GB,39.62 cm (15.6 inch),1920 x 1080 Pixel,3,2.10 kg,"₹95,990",https://www.flipkart.com/asus-rog-strix-g15-ryzen-7-octa-core-4800h-16-gb-1-tb-ssd-windows-11-home-4-gb-graphics-nvidia-geforce-rtx-3050-ti-144-hz-g513ie-hn040ws-gaming-laptop/p/itm13c7975bead0a?pid=COMGE73KYN76YZC7&lid=LSTCOMGE73KYN76YZC71JHKIS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_3&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=730c83bd-ec65-494c-88c1-7bc7fbfc7561.COMGE73KYN76YZC7.SEARCH&ppt=None&ppn=None&ssid=yw3q8glvi80000001663391164155&qH=c06ea84a1e3dc3c6
27,ASUS,Intel,1.2 Ghz. Turbo Upto 3.4 Ghz.,12,4,512 GB,,8 GB,Intel Integrated UHD,4 GB,35.56 cm (14 inch),1366x768 pixel,2 cell,1.6 kg,"₹29,990",https://www.flipkart.com/asus-vivobook-14-core-i3-10th-gen-8-gb-1-tb-hdd-windows-11-home-x415ja-bv301ws-laptop/p/itmefe89905389cf?pid=COMGHQS9HG9Q5RN3&lid=LSTCOMGHQS9HG9Q5RN3FJRQPR&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_4&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=730c83bd-ec65-494c-88c1-7bc7fbfc7561.COMGHQS9HG9Q5RN3.SEARCH&ppt=None&ppn=None&ssid=yw3q8glvi80000001663391164155&qH=c06ea84a1e3dc3c6
28,ASUS,AMD,2.3 Ghz With Turbo Upto 4.0,4,8,512 GB,,16 GB,AMD Radeon Radeon RX Vega 10 Graphics,,39.62 cm (15.6 inch),1920 x 1080$$Pixels pixel,3 Cell,1.8 kg,"₹46,990",https://www.flipkart.com/asus-vivobook-15-ryzen-7-quad-core-amd-r7-3700u-16-gb-512-gb-ssd-windows-11-home-m515da-bq722ws-laptop/p/itm5c77300ec1eb8?pid=COMGCRFYZF5TK7ZU&lid=LSTCOMGCRFYZF5TK7ZUSWT9I4&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_5&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=730c83bd-ec65-494c-88c1-7bc7fbfc7561.COMGCRFYZF5TK7ZU.SEARCH&ppt=None&ppn=None&ssid=yw3q8glvi80000001663391164155&qH=c06ea84a1e3dc3c6
29,ASUS,AMD,4.3,8 MB,2,256 GB,,16 GB,AMD Radeon Radeon Graphics,,39.62 cm (15.6 Inch),1920 x 1080 Pixels,3 Cell,1.80 Kg,"₹69,990",https://www.flipkart.com/asus-vivobook-k15-oled-ryzen-7-octa-core-5700u-16-gb-512-gb-ssd-windows-11-home-km513ua-l712ws-thin-light-laptop/p/itmd737de314823c?pid=COMGB6DZQJHHSESY&lid=LSTCOMGB6DZQJHHSESYC1WZQS&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_6&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=730c83bd-ec65-494c-88c1-7bc7fbfc7561.COMGB6DZQJHHSESY.SEARCH&ppt=None&ppn=None&ssid=yw3q8glvi80000001663391164155&qH=c06ea84a1e3dc3c6
30,ASUS,Intel,1.1 GHz upto max turbo frequency at 2.8 Ghz,4 MB,4,512 GB,,4 GB,Intel Integrated UHD,,35.56 cm (14 inch),1366 x 768 Pixel,3 cell,1.60 kg,"₹25,990",https://www.flipkart.com/asus-vivobook-14-2021-celeron-dual-core-4-gb-256-gb-ssd-windows-11-home-x415ma-bv011w-thin-light-laptop/p/itm8f9bebd99f5c0?pid=COMGBH774UHWUFQF&lid=LSTCOMGBH774UHWUFQFHH2XKA&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_7&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=730c83bd-ec65-494c-88c1-7bc7fbfc7561.COMGBH774UHWUFQF.SEARCH&ppt=None&ppn=None&ssid=yw3q8glvi80000001663391164155&qH=c06ea84a1e3dc3c6
31,ASUS,Intel,"Base Frequency 2.4 GHz, Max Turbo Frequency at 4.1 GHz",4 MB,2,512 GB,,8 GB,NVIDIA GeForce GTX 1650,,39.62 cm (15.6 inch),1920 x 1080 Pixels,2 cell,2.30 kg kg,"₹55,990",https://www.flipkart.com/asus-tuf-gaming-f15-core-i5-10th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-fx506lhb-hn358w-laptop/p/itm4d930ab779cbd?pid=COMGF9Z7JYCFBKAP&lid=LSTCOMGF9Z7JYCFBKAPXYET0O&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_8&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=730c83bd-ec65-494c-88c1-7bc7fbfc7561.COMGF9Z7JYCFBKAP.SEARCH&ppt=None&ppn=None&ssid=yw3q8glvi80000001663391164155&qH=c06ea84a1e3dc3c6
32,ASUS,Intel,1.20 Ghz. Turbo Upto 3.4 Ghz.,24 MB,2,512 GB,,8 GB,Intel Integrated,,39.62 cm (15.6 inch),1080*1920 pixel,3 cell,1.6 kg,"₹32,790",https://www.flipkart.com/asus-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej382ws-laptop/p/itma0bbda903c72b?pid=COMGHHWNHHPAGR9U&lid=LSTCOMGHHWNHHPAGR9UFHHAEN&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_9&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=730c83bd-ec65-494c-88c1-7bc7fbfc7561.COMGHHWNHHPAGR9U.SEARCH&ppt=None&ppn=None&ssid=yw3q8glvi80000001663391164155&qH=c06ea84a1e3dc3c6
33,ASUS,Intel,1.20 Ghz. Turbo Upto 3.4 Ghz.,6M,6,512 GB,,8 GB,Intel Integrated UHD,,35.56 cm (14 inch),1366 x 768 pixel,3 cell,1.8 kg,"₹29,990",https://www.flipkart.com/asus-vivobook-14-core-i3-10th-gen-8-gb-1-tb-hdd-windows-11-home-x415ja-bv302ws-laptop/p/itm96433aca49a4c?pid=COMGHQSCQYVHAHVV&lid=LSTCOMGHQSCQYVHAHVVAMWEEO&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_10&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=730c83bd-ec65-494c-88c1-7bc7fbfc7561.COMGHQSCQYVHAHVV.SEARCH&ppt=None&ppn=None&ssid=yw3q8glvi80000001663391164155&qH=c06ea84a1e3dc3c6
34,ASUS,Intel,Base Frequency 3.0 GHz Max Turbo Frequency at 4.7 GHz,6,8,512 GB,,8 GB,Intel Integrated UHD,,39.62 cm (15.6 inch),1920 x 1080 pixel,4 cell,1.50 kg,"₹32,890",https://www.flipkart.com/asus-vivobook-15-core-i3-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej382ws-x515ja-laptop/p/itm46cefd99c9a5e?pid=COMGHXFZX7SGP39V&lid=LSTCOMGHXFZX7SGP39VK4PLQK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_11&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=730c83bd-ec65-494c-88c1-7bc7fbfc7561.COMGHXFZX7SGP39V.SEARCH&ppt=None&ppn=None&ssid=yw3q8glvi80000001663391164155&qH=c06ea84a1e3dc3c6
35,ASUS,Intel,"3.00 GHz, Max Turbo Boost Frequency Up to 4.10 GHz",8M,6,512 GB,,16 GB,Intel Integrated Iris Xe,,35.56 cm (14 inch),2880 x 1800 Pixels,4 Cell,1.40 kg,"₹94,990",https://www.flipkart.com/asus-vivobook-s14-oled-2022-intel-evo-core-i7-12th-gen-16-gb-512-gb-ssd-windows-11-home-s3402za-km702ws-thin-light-laptop/p/itmd1086591ca87c?pid=COMGCG2GCTYUYF4N&lid=LSTCOMGCG2GCTYUYF4NFRNNAW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_12&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=730c83bd-ec65-494c-88c1-7bc7fbfc7561.COMGCG2GCTYUYF4N.SEARCH&ppt=None&ppn=None&ssid=yw3q8glvi80000001663391164155&qH=c06ea84a1e3dc3c6
36,ASUS,Intel,1.0 GHz upto max turbo frequency at 3.6 Ghz,6M,2,512 GB,,8 GB,Intel Integrated UHD,,35.56 cm (14 inch),1920 x 1080 Pixel,2,1.80 kg,"₹41,990",https://www.flipkart.com/asus-vivobook-ultra-14-2022-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-x413ea-eb321ws-thin-light-laptop/p/itm6615e01e4f7d0?pid=COMG87FFW6EN4SUY&lid=LSTCOMG87FFW6EN4SUYAIB0DZ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=730c83bd-ec65-494c-88c1-7bc7fbfc7561.COMG87FFW6EN4SUY.SEARCH&ppt=None&ppn=None&ssid=yw3q8glvi80000001663391164155&qH=c06ea84a1e3dc3c6
37,ASUS,Intel,2.4 GHz with Turbo Boost Upto 4.2 GHz,12,8,256 GB,,8 GB,Intel Integrated UHD,,39.62 cm (15.6 inch),1920 x 1080 Pixel,2,1.40 kg,"₹43,990",https://www.flipkart.com/asus-vivobook-15-2022-core-i5-10th-gen-8-gb-512-gb-ssd-windows-11-home-x515ja-ej562ws-x515ja-ej592ws-thin-light-laptop/p/itm2e65b7fbcb497?pid=COMG87FF2SD7ZHK6&lid=LSTCOMG87FF2SD7ZHK6CCCXCI&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_14&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=730c83bd-ec65-494c-88c1-7bc7fbfc7561.COMG87FF2SD7ZHK6.SEARCH&ppt=None&ppn=None&ssid=yw3q8glvi80000001663391164155&qH=c06ea84a1e3dc3c6
38,ASUS,Intel,"3.00 GHz, Max Turbo Boost Frequency Up to 4.10 GHz",16 MB,2,512 GB,,16 GB,Intel Integrated Iris Xe,,35.56 cm (14 inch),1920 x 1080 Pixel,3 cell,1.80 kg,"₹55,990",https://www.flipkart.com/asus-vivobook-ultra-14-2021-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-x413ea-eb533ws-thin-light-laptop/p/itm8290548fba964?pid=COMG87FFMMY7KSHH&lid=LSTCOMG87FFMMY7KSHHR7M3PU&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_15&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=730c83bd-ec65-494c-88c1-7bc7fbfc7561.COMG87FFMMY7KSHH.SEARCH&ppt=None&ppn=None&ssid=yw3q8glvi80000001663391164155&qH=c06ea84a1e3dc3c6
39,ASUS,Intel,Max Boost Frequency Upto 4.2 GHz,6 MB,2,512 GB,,8 GB,Intel Integrated UHD,,39.62 cm (15.6 inch),1920 x 1080 Pixel,3 cell,2.60 kg,"₹42,990",https://www.flipkart.com/asus-vivobook-k15-oled-2022-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-k513ea-l302ws-thin-light-laptop/p/itmb768764e55ddd?pid=COMG87FFTTGFCKBS&lid=LSTCOMG87FFTTGFCKBS21FXQR&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_16&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=730c83bd-ec65-494c-88c1-7bc7fbfc7561.COMG87FFTTGFCKBS.SEARCH&ppt=None&ppn=None&ssid=yw3q8glvi80000001663391164155&qH=c06ea84a1e3dc3c6
40,ASUS,AMD,3.3 Ghz. Turbo Upto 4.2 Ghz.,8,,512 GB,,16 GB,NVIDIA GeForce RTX 3050,,43.94 cm (17.3 inch),1920 x 1080 Pixels,,1.8 kg,"₹79,990",https://www.flipkart.com/asus-tuf-gaming-a17-ryzen-7-octa-core-4800h-16-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-fa706ic-hx003t-laptop/p/itmccc79bbd17e07?pid=COMG8N5PFPCX9Z3J&lid=LSTCOMG8N5PFPCX9Z3JGKCEFC&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_17&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=730c83bd-ec65-494c-88c1-7bc7fbfc7561.COMG8N5PFPCX9Z3J.SEARCH&ppt=None&ppn=None&ssid=yw3q8glvi80000001663391164155&qH=c06ea84a1e3dc3c6
41,ASUS,AMD,3.0 Ghz With Turbo Upto 4.10,6,,512 GB,,16 GB,AMD Radeon AMD RADEON,,40.64 cm (16 inch),1920 x 1200 pixel,,1.8 kg,"₹59,990",https://www.flipkart.com/asus-vivobook-16x-ryzen-5-hexa-core-r5-5600h-16-gb-512-gb-ssd-windows-11-home-m1603qa-mb511ws-laptop/p/itm2b26182c33ac7?pid=COMGHFCKYYXJZE3G&lid=LSTCOMGHFCKYYXJZE3GHIRDLR&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_18&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=730c83bd-ec65-494c-88c1-7bc7fbfc7561.COMGHFCKYYXJZE3G.SEARCH&ppt=None&ppn=None&ssid=yw3q8glvi80000001663391164155&qH=c06ea84a1e3dc3c6
42,ASUS,Intel,2.9 GHz with Turbo Boost Upto 4.2 GHz,6,,256 GB,,8 GB,Intel Integrated Intel UHD,,39.62 cm (15.6 inch),1920 x 1080$$pixels pixel,,2.10 Kg,"₹45,990",https://www.flipkart.com/asus-vivobook-ultra-k15-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-k513ea-l313ws-laptop/p/itm8a7c362bf195a?pid=COMGA22GGPFGPFZP&lid=LSTCOMGA22GGPFGPFZPFJNF0B&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_19&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=730c83bd-ec65-494c-88c1-7bc7fbfc7561.COMGA22GGPFGPFZP.SEARCH&ppt=None&ppn=None&ssid=yw3q8glvi80000001663391164155&qH=c06ea84a1e3dc3c6
43,ASUS,AMD,4.1,8M,,512 GB,,8 GB,NVIDIA GeForce GTX 1650,,39.62 cm (15.6 inch),1920 x 1080 Pixels,,1.60 Kg,"₹76,990",https://www.flipkart.com/asus-rog-strix-g15-ryzen-7-octa-core-4800h-8-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-144-hz-g513ih-hn086t-gaming-laptop/p/itm2b93a4b3d7a76?pid=COMG5C28GFMZGXBR&lid=LSTCOMG5C28GFMZGXBR4SKK9R&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_20&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=730c83bd-ec65-494c-88c1-7bc7fbfc7561.COMG5C28GFMZGXBR.SEARCH&ppt=None&ppn=None&ssid=yw3q8glvi80000001663391164155&qH=c06ea84a1e3dc3c6
44,ASUS,Intel,4.1,6M,,512 GB,,8 GB,Intel Integrated UHD Graphics,,35.56 cm (14 Inch),1920 x 1080 Pixels,,1.80 Kg,"₹35,990",https://www.flipkart.com/asus-vivobook-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-x415ea-ek342ws-thin-light-laptop/p/itm1d10af79cb173?pid=COMGBHPFAFAWGKHE&lid=LSTCOMGBHPFAFAWGKHEZLNX0L&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_21&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=730c83bd-ec65-494c-88c1-7bc7fbfc7561.COMGBHPFAFAWGKHE.SEARCH&ppt=None&ppn=None&ssid=yw3q8glvi80000001663391164155&qH=c06ea84a1e3dc3c6
45,ASUS,Intel,2.4 GHz with Turbo Boost Upto 4.2 GHz,,,512 GB,,8 GB,Intel Integrated UHD Graphics,,39.62 cm (15.6 Inch),1920 x 1080 Pixels,,1.40 kg,"₹42,990",https://www.flipkart.com/asus-vivobook-15-touch-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-x515ea-ez311ws-thin-light-laptop/p/itm9280b4ca3969f?pid=COMGEFDUVGNNCZVU&lid=LSTCOMGEFDUVGNNCZVUM0H7GM&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_22&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=730c83bd-ec65-494c-88c1-7bc7fbfc7561.COMGEFDUVGNNCZVU.SEARCH&ppt=None&ppn=None&ssid=yw3q8glvi80000001663391164155&qH=c06ea84a1e3dc3c6
46,ASUS,Intel,"3.00 GHz, Max Turbo Boost Frequency Up to 4.10 GHz",,,,,16 GB,Intel Integrated Iris Xe,,35.56 cm (14 inch),1920 x 1080 Pixel,,1.80 kg,"₹55,990",https://www.flipkart.com/asus-vivobook-ultra-14-2022-core-i5-11th-gen-16-gb-512-gb-ssd-windows-11-home-x413ea-eb532ws-thin-light-laptop/p/itmf6445e8ebf133?pid=COMG87FFYEZW7ZRC&lid=LSTCOMG87FFYEZW7ZRCPD6GGV&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_23&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=730c83bd-ec65-494c-88c1-7bc7fbfc7561.COMG87FFYEZW7ZRC.SEARCH&ppt=None&ppn=None&ssid=yw3q8glvi80000001663391164155&qH=c06ea84a1e3dc3c6
47,ASUS,Intel,,,,,,8 GB,Intel Integrated UHD,,39.62 cm (15.6 inch),1920 x 1080 Pixel,,,"₹45,990",https://www.flipkart.com/asus-vivobook-k15-oled-2022-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-k513ea-l312ws-thin-light-laptop/p/itm43432ba02fc87?pid=COMG87FFHXJHKNE8&lid=LSTCOMG87FFHXJHKNE823JHOH&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_24&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=730c83bd-ec65-494c-88c1-7bc7fbfc7561.COMG87FFHXJHKNE8.SEARCH&ppt=None&ppn=None&ssid=yw3q8glvi80000001663391164155&qH=c06ea84a1e3dc3c6
48,DELL,AMD,3.2,4,2,256 GB,1 TB,8 GB,AMD Radeon Radeon Graphics,4 GB,39.62 cm (15.6 Inch),1920 x 1080 Pixels,3,1.68 Kg,"₹31,990",https://www.flipkart.com/dell-inspiron-athlon-dual-core-3050u-8-gb-256-gb-ssd-windows-11-home-3525-notebook/p/itm96a6101fa53ff?pid=COMGCYF9EZKKPEWD&lid=LSTCOMGCYF9EZKKPEWDXSSFWJ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_1&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=dc2137cd-fda8-4c52-852d-5e5be9a32cac.COMGCYF9EZKKPEWD.SEARCH&ppt=None&ppn=None&ssid=kg8031n77k0000001663391307833&qH=c06ea84a1e3dc3c6
49,DELL,AMD,3.2 GHz upto max turbo frequency at 4.4 Ghz,16,8,512 GB,1 TB,16 GB,NVIDIA GeForce RTX 3050,,39.62 cm (15.6 inch),1920 x 1080 Pixel,3 cell,2.57 kg,"₹36,990",https://www.flipkart.com/dell-vostro-core-i3-11th-gen-8-gb-256-gb-ssd-windows-10-home-3400-thin-light-laptop/p/itmdbe71fb69fada?pid=COMGBUKJRGHNGGZE&lid=LSTCOMGBUKJRGHNGGZEJ9QOYM&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_2&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=dc2137cd-fda8-4c52-852d-5e5be9a32cac.COMGBUKJRGHNGGZE.SEARCH&ppt=None&ppn=None&ssid=kg8031n77k0000001663391307833&qH=c06ea84a1e3dc3c6
50,DELL,Intel,4.1,6,2,256 GB,1 TB,8 GB,Intel Integrated UHD Graphics,,39.62 cm (15.6 inch),1920 x 1080 pixel,3,1.8 kg,"₹75,990",https://www.flipkart.com/dell-ryzen-5-hexa-core-5600h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-120-hz-g15-5515-gaming-laptop/p/itmdcfbf0112dca1?pid=COMGCNDPFGGYSU3U&lid=LSTCOMGCNDPFGGYSU3U8JBUJ2&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_3&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=dc2137cd-fda8-4c52-852d-5e5be9a32cac.COMGCNDPFGGYSU3U.SEARCH&ppt=None&ppn=None&ssid=kg8031n77k0000001663391307833&qH=c06ea84a1e3dc3c6
51,DELL,AMD,2.6 GHz upto max turbo frequency at 3.5 Ghz,4,2,256 GB,,8 GB,AMD Radeon AMD,,39.62 cm (15.6 inch),1920 x 1080 Pixel,3 cell,1.8 kg,"₹43,990",https://www.flipkart.com/dell-inspiron-core-i3-11th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-11-home-3511-inspiron-3000-thin-light-laptop/p/itmb93d2a1e224d0?pid=COMGAD2B4QMZTWKB&lid=LSTCOMGAD2B4QMZTWKBLSB4SW&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_4&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=dc2137cd-fda8-4c52-852d-5e5be9a32cac.COMGAD2B4QMZTWKB.SEARCH&ppt=None&ppn=None&ssid=kg8031n77k0000001663391307833&qH=c06ea84a1e3dc3c6
