index,Laptop Brand, Processor Brand ,Clock Speed,Cache,Number of Cores,SSD Capacity,HDD Capacity,RAM,Graphic Processor,Dedicated Graphic Memory Capacity,Screen Size,Screen Resolution,Battery Cell,Weight,Cost,Link
12,HP,AMD,Up to 4.0 GHz max boost clock,8,4,512 GB,,16 GB,AMD Radeon Radeon Graphics,,39.62 cm (15.6 Inch),1920 x 1080 Pixels,3,1.69 Kg,"₹53,990",https://www.flipkart.com/hp-ryzen-5-hexa-core-5500u-16-gb-512-gb-ssd-windows-11-home-15s-eq2182au-thin-light-laptop/p/itm09b322c037285?pid=COMGFRHGDB9G3Z9C&lid=LSTCOMGFRHGDB9G3Z9C3FOYP9&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_13&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=3e9ee6a3-c0b3-4714-b759-c7d8a23872cf.COMGFRHGDB9G3Z9C.SEARCH&ppt=None&ppn=None&ssid=y08taens1s0000001663391040861&qH=c06ea84a1e3dc3c6
13,HP,AMD,2.1 GHz with Max Turbo Boost Frequency Up to 4.0 GHz,8,4,512 GB,,8 GB,AMD Radeon AMD,,35.56 cm (14 inch),1920 x 1080 Pixel,3 cell,1.46 Kg,"₹48,017",https://www.flipkart.com/hp-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-11-home-14s-fq1092au-thin-light-laptop/p/itm808dc28eb54e7?pid=COMGAX8EYBZZDXY6&lid=LSTCOMGAX8EYBZZDXY6KGWIPZ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_14&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=3e9ee6a3-c0b3-4714-b759-c7d8a23872cf.COMGAX8EYBZZDXY6.SEARCH&ppt=None&ppn=None&ssid=y08taens1s0000001663391040861&qH=c06ea84a1e3dc3c6
14,HP,Intel,4.5,8,2,512 GB,,8 GB,Intel Integrated Iris Xe Graphics,,39.62 cm (15.6 Inch),1920 x 1080 Pixels,3,1.69 Kg,"₹51,890",https://www.flipkart.com/hp-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-15s-fq4022tu-thin-light-laptop/p/itm884a0e7eddc83?pid=COMGBH9JY38MYJAZ&lid=LSTCOMGBH9JY38MYJAZU1WJIK&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_15&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=3e9ee6a3-c0b3-4714-b759-c7d8a23872cf.COMGBH9JY38MYJAZ.SEARCH&ppt=None&ppn=None&ssid=y08taens1s0000001663391040861&qH=c06ea84a1e3dc3c6
15,HP,Intel,Max Turbo Frequency Up to 3.7 GHz,8 MB,4,512 GB,,8 GB,Intel Integrated UHD,,35.56 cm (14 inch),1920 x 1080 Pixel,3 Cell,1.52 kg,"₹52,990",https://www.flipkart.com/hp-pavilion-x360-core-i3-11th-gen-8-gb-512-gb-ssd-windows-11-home-14-dy0186tu-2-1-laptop/p/itm367c6182b8f54?pid=COMG9WRFYCG8RFJP&lid=LSTCOMG9WRFYCG8RFJPCO53IF&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_16&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=3e9ee6a3-c0b3-4714-b759-c7d8a23872cf.COMG9WRFYCG8RFJP.SEARCH&ppt=None&ppn=None&ssid=y08taens1s0000001663391040861&qH=c06ea84a1e3dc3c6
16,HP,AMD,"2.6 GHz base clock, up to 3.5 GHz max",4,6,512 GB,,8 GB,AMD Radeon Radeon,,39.62 cm (15.6 inch),1920 x 1080 Pixel,3,1.69 Kg,"₹34,999",https://www.flipkart.com/hp-ryzen-3-dual-core-3250u-8-gb-512-gb-ssd-windows-11-home-15s-eq1560au-thin-light-laptop/p/itmd282d5968dfec?pid=COMGGFZHCHFBCHXX&lid=LSTCOMGGFZHCHFBCHXXX07GJZ&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_17&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=3e9ee6a3-c0b3-4714-b759-c7d8a23872cf.COMGGFZHCHFBCHXX.SEARCH&ppt=None&ppn=None&ssid=y08taens1s0000001663391040861&qH=c06ea84a1e3dc3c6
17,HP,Intel,2.9 GHz upto max turbo frequency at 5 GHz,12,4,512 GB,,16 GB,Intel Integrated Iris Xe Graphics,,35.56 cm (14 inch),1920 x 1080 Pixel,3 cell,1.52 kg,"₹82,990",https://www.flipkart.com/hp-pavilion-x360-convertible-core-i7-11th-gen-16-gb-512-gb-ssd-windows-11-home-14-dy1047tu-thin-light-laptop/p/itm33a412438c15a?pid=COMGCNDPKPCKGGQZ&lid=LSTCOMGCNDPKPCKGGQZ6VLE0Q&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_18&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=3e9ee6a3-c0b3-4714-b759-c7d8a23872cf.COMGCNDPKPCKGGQZ.SEARCH&ppt=None&ppn=None&ssid=y08taens1s0000001663391040861&qH=c06ea84a1e3dc3c6
18,HP,Intel,Max Turbo Boost at 4.5 GHz,12 MB,2,512 GB,,8 GB,NVIDIA GeForce RTX 3050,,40.89 cm (16.1 inch),1920 x 1080 Pixels,4 Cell,2.48 Kg,"₹67,990",https://www.flipkart.com/hp-victus-core-i5-11th-gen-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-3050-144-hz-16-d0354tx-gaming-laptop/p/itm272629b3faa52?pid=COMGEVBGVFVBFJHE&lid=LSTCOMGEVBGVFVBFJHE2H2HV0&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_19&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=3e9ee6a3-c0b3-4714-b759-c7d8a23872cf.COMGEVBGVFVBFJHE.SEARCH&ppt=None&ppn=None&ssid=y08taens1s0000001663391040861&qH=c06ea84a1e3dc3c6
19,HP,AMD,2.6 GHz with Turbo Boost Upto 3.8 GHz,4,6,512 GB,,8 GB,AMD Radeon AMD,,39.62 cm (15.6 inch),1920 x 1080 Pixel,3 cell,1.69 Kg,"₹38,499",https://www.flipkart.com/hp-ryzen-3-quad-core-5300u-8-gb-512-gb-ssd-windows-11-home-15s-eq2143au-thin-light-laptop/p/itm833bca55e158b?pid=COMGAX8EEYFKCESS&lid=LSTCOMGAX8EEYFKCESS83R2QP&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_20&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=3e9ee6a3-c0b3-4714-b759-c7d8a23872cf.COMGAX8EEYFKCESS.SEARCH&ppt=None&ppn=None&ssid=y08taens1s0000001663391040861&qH=c06ea84a1e3dc3c6
20,HP,AMD,2.1 GHz with Turbo Boost Upto 4 GHz,8 MB,4,512 GB,,8 GB,AMD Radeon AMD,,39.62 cm (15.6 Inch),1920 x 1080 Pixel,3 Cell,1.75 Kg,"₹54,999",https://www.flipkart.com/hp-pavilion-ryzen-5-hexa-core-5500u-8-gb-512-gb-ssd-windows-10-home-15-eh1101au-thin-light-laptop/p/itmbbe1a7a3f907e?pid=COMG67BXFFXYZSMZ&lid=LSTCOMG67BXFFXYZSMZEBZDME&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_21&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=3e9ee6a3-c0b3-4714-b759-c7d8a23872cf.COMG67BXFFXYZSMZ.SEARCH&ppt=None&ppn=None&ssid=y08taens1s0000001663391040861&qH=c06ea84a1e3dc3c6
21,HP,AMD,2.6 GHz to max turbo frequency at 3.5 Ghz,8 MB,,256 GB,,8 GB,AMD Radeon AMD,,39.62 cm (15.6 inch),1920 x 1080 Pixels,3 cell,1.69 kg,"₹35,750",https://www.flipkart.com/hp-ryzen-3-dual-core-3250u-8-gb-256-gb-ssd-windows-11-home-15s-gy0501au-thin-light-laptop/p/itmcc3db7767aba4?pid=COMG6MVEA2PWVH3B&lid=LSTCOMG6MVEA2PWVH3BJ8QBY0&marketplace=FLIPKART&q=laptops&store=6bo%2Fb5g&srno=s_1_22&otracker=AS_Query_TrendingAutoSuggest_1_0_na_na_na&otracker1=AS_Query_TrendingAutoSuggest_1_0_na_na_na&fm=organic&iid=3e9ee6a3-c0b3-4714-b759-c7d8a23872cf.COMG6MVEA2PWVH3B.SEARCH&ppt=None&ppn=None&ssid=y08taens1s0000001663391040861&qH=c06ea84a1e3dc3c6
